customer_id,first_name,last_name,customer_city,customer_country,birthdate,marital_status,yearly_income,gender,total_children,education,acct_open_date,member_card,occupation,homeowner
57,Zach,Lovell,San Andres,Mexico,12/10/1960,S,$10K - $30K,M,3,Partial High School,5/15/1991,Golden,Manual,Y
58,Dave,Ratcliff,Oakland,USA,4/4/1956,S,$30K - $50K,F,3,Partial High School,11/24/1992,Bronze,Skilled Manual,N
59,Elizabeth,Moss,Burnaby,Canada,6/1/1942,M,$30K - $50K,M,5,High School Degree,3/19/1993,Bronze,Manual,Y
60,Lori,Anderson,Langley,Canada,2/2/1914,S,$30K - $50K,M,3,Partial College,9/4/1990,Silver,Skilled Manual,Y
61,Michael,Everson,Tacoma,USA,2/15/1945,M,$70K - $90K,M,1,Bachelors Degree,2/26/1991,Bronze,Professional,N
62,Mary,Borden,Santa Monica,USA,6/25/1931,M,$30K - $50K,M,1,High School Degree,5/12/1991,Golden,Skilled Manual,Y
63,Sue,Willson,Tlaxiaco,Mexico,10/13/1916,S,$70K - $90K,F,4,Bachelors Degree,6/4/1992,Bronze,Professional,N
64,Clayton,Harris,Beaverton,USA,8/13/1932,S,$10K - $30K,M,4,Partial High School,2/26/1993,Normal,Manual,Y
65,Whitney,Contreras,Metchosin,Canada,9/7/1979,M,$90K - $110K,F,0,Partial College,11/23/1990,Normal,Management,Y
66,Boyd,Pusedu,Metchosin,Canada,8/11/1933,M,$110K - $130K,F,4,Partial College,9/3/1992,Silver,Professional,Y
67,Cian,Stedman,Westminster,Canada,7/1/1928,M,$30K - $50K,M,3,Partial College,1/3/1991,Bronze,Skilled Manual,Y
68,Michele,Zocchi,Hidalgo,Mexico,7/27/1917,S,$30K - $50K,F,0,High School Degree,11/13/1993,Silver,Manual,Y
69,Jean,Walsh,Los Angeles,USA,6/17/1969,M,$10K - $30K,M,1,Partial High School,3/12/1991,Normal,Skilled Manual,Y
70,Leopoldo,Renfro,Coronado,USA,3/26/1972,M,$30K - $50K,M,0,High School Degree,7/13/1991,Bronze,Manual,Y
71,Donna,Brockett,La Cruz,Mexico,4/8/1967,S,$10K - $30K,M,5,Partial High School,11/20/1990,Normal,Manual,N
72,Laurie,Anderson,Shawnee,Canada,9/17/1940,M,$10K - $30K,F,5,Partial High School,12/3/1992,Normal,Skilled Manual,Y
73,Louis,Gomez,Yakima,USA,2/28/1925,M,$30K - $50K,F,4,High School Degree,10/7/1992,Golden,Skilled Manual,Y
74,Julie,Walker,Ballard,USA,4/3/1965,S,$50K - $70K,M,3,Bachelors Degree,3/24/1992,Bronze,Professional,Y
75,Jay,Jones,Lynnwood,USA,3/25/1913,S,$30K - $50K,F,3,High School Degree,3/17/1990,Bronze,Manual,N
76,Gayle,Winfrey,Port Orchard,USA,6/23/1917,S,$70K - $90K,F,1,High School Degree,5/26/1994,Normal,Professional,N
77,Yasmina,Brown,Downey,USA,6/17/1921,S,$50K - $70K,M,2,Bachelors Degree,6/18/1992,Normal,Professional,Y
78,Joseph,Touchstone,Salem,USA,6/24/1940,M,$10K - $30K,M,1,Partial High School,5/2/1994,Silver,Manual,Y
79,Mary,Bakhtyari,Tacoma,USA,7/10/1957,S,$70K - $90K,M,2,Bachelors Degree,6/2/1994,Bronze,Management,Y
80,Melvin,Glass,Lemon Grove,USA,4/18/1946,S,$70K - $90K,F,1,Bachelors Degree,11/11/1992,Bronze,Management,Y
81,Kristin,Cohen,Milwaukie,USA,10/25/1944,S,$10K - $30K,M,2,Partial High School,5/5/1990,Normal,Skilled Manual,Y
82,Susan,Kharman,Richmond,USA,8/10/1941,S,$10K - $30K,F,4,Partial High School,3/23/1993,Normal,Skilled Manual,Y
83,Gordon,Kirschner,Arcadia,USA,3/24/1969,S,$110K - $130K,F,3,Partial High School,2/20/1994,Golden,Management,Y
84,William,Burger,Haney,Canada,3/5/1932,S,$50K - $70K,M,4,Bachelors Degree,8/27/1994,Bronze,Professional,N
85,Lana,Blau,Novato,USA,10/19/1946,M,$30K - $50K,M,3,High School Degree,8/24/1993,Golden,Skilled Manual,Y
86,Donna,Derby,Bremerton,USA,3/25/1911,S,$30K - $50K,M,4,Partial High School,11/6/1992,Normal,Skilled Manual,Y
87,Kathleen,Thomson,N. Vancouver,Canada,4/15/1949,S,$70K - $90K,F,4,High School Degree,9/26/1992,Bronze,Management,N
88,Gabriel,Walton,Milwaukie,USA,2/11/1943,S,$30K - $50K,F,2,High School Degree,9/18/1992,Bronze,Manual,N
89,Bishop,Meastas,Woodland Hills,USA,10/6/1974,S,$70K - $90K,F,4,High School Degree,4/16/1992,Bronze,Management,N
90,Geneva,Kouba,Sooke,Canada,10/5/1976,M,$70K - $90K,F,2,High School Degree,2/19/1993,Bronze,Professional,Y
91,Tricia,Clark,Long Beach,USA,4/24/1956,M,$50K - $70K,M,1,Bachelors Degree,12/20/1990,Bronze,Professional,N
92,Debi,Munn,Arcadia,USA,8/3/1934,M,$30K - $50K,M,4,High School Degree,5/7/1993,Bronze,Skilled Manual,Y
93,Patricia,Goldberg,Woodburn,USA,3/22/1970,M,$130K - $150K,M,5,Bachelors Degree,5/8/1993,Golden,Professional,Y
94,Susan,Magenheim,Vancouver,Canada,9/15/1939,S,$10K - $30K,M,1,Partial High School,12/15/1993,Normal,Skilled Manual,Y
95,Nancy,Hance,Tlaxiaco,Mexico,9/9/1930,S,$130K - $150K,F,2,Graduate Degree,9/13/1991,Silver,Professional,Y
96,Rhonda,Mehlert,Beaverton,USA,3/15/1951,S,$50K - $70K,M,0,Bachelors Degree,10/18/1990,Normal,Management,Y
97,Paula,Duran,Richmond,Canada,8/3/1923,M,$50K - $70K,M,4,High School Degree,4/21/1992,Golden,Skilled Manual,Y
98,Margaret,Earley,Richmond,Canada,3/12/1952,M,$130K - $150K,F,1,High School Degree,9/7/1990,Bronze,Management,Y
99,Elizabeth,Horne,Port Orchard,USA,4/9/1934,S,$30K - $50K,F,3,Bachelors Degree,5/28/1992,Bronze,Professional,N
100,Mary,Hunt,San Jose,USA,12/14/1929,M,$90K - $110K,F,2,Partial High School,8/6/1990,Silver,Professional,Y
101,Libby,Allen,N. Vancouver,Canada,4/26/1975,S,$10K - $30K,F,1,Partial High School,7/16/1993,Normal,Manual,N
102,Bonnie,Bruno,Langford,Canada,5/2/1972,M,$30K - $50K,M,2,Bachelors Degree,10/6/1990,Bronze,Professional,N
103,Angela,Bowers,Acapulco,Mexico,5/27/1914,M,$50K - $70K,M,5,Bachelors Degree,4/24/1992,Golden,Professional,Y
104,Donald,Gonzales,Hidalgo,Mexico,3/4/1952,M,$30K - $50K,F,1,Partial College,11/12/1994,Bronze,Clerical,N
105,Sylvester,Valdez,National City,USA,5/12/1933,M,$150K +,M,3,Bachelors Degree,2/8/1992,Golden,Management,Y
106,John,Stewart,Long Beach,USA,3/20/1979,S,$50K - $70K,M,5,Bachelors Degree,11/19/1991,Bronze,Professional,Y
107,Barney,Velasquez,Cliffside,Canada,5/9/1921,M,$30K - $50K,M,2,High School Degree,6/17/1990,Bronze,Manual,Y
108,Kenneth,Dubois,Shawnee,Canada,5/13/1931,M,$90K - $110K,M,1,Bachelors Degree,2/21/1993,Bronze,Management,Y
109,Kate,Maestas,Newton,Canada,8/1/1929,S,$50K - $70K,M,2,Bachelors Degree,9/19/1992,Bronze,Professional,N
110,Josie,Underwood,West Covina,USA,2/3/1942,S,$10K - $30K,M,3,Partial High School,8/2/1993,Normal,Manual,N
111,Ramon,Strain,Palo Alto,USA,10/21/1965,M,$70K - $90K,F,2,Bachelors Degree,2/24/1992,Bronze,Management,Y
112,Pat,Azari,Santa Monica,USA,11/24/1948,M,$30K - $50K,F,4,High School Degree,2/11/1991,Bronze,Skilled Manual,Y
113,Bob,Dabit,Sooke,Canada,5/20/1964,M,$110K - $130K,F,2,Bachelors Degree,1/27/1993,Bronze,Professional,Y
114,Marty,Carmona,Sooke,Canada,4/16/1943,S,$150K +,F,3,High School Degree,3/9/1993,Silver,Professional,Y
115,Gina,Saxton,Altadena,USA,6/9/1977,S,$90K - $110K,F,3,Bachelors Degree,9/12/1994,Silver,Professional,Y
116,Juan,McLaughlin,Burnaby,Canada,10/11/1934,S,$90K - $110K,M,2,High School Degree,8/14/1994,Bronze,Management,N
117,Carol,Eyster,Albany,USA,2/4/1954,M,$90K - $110K,F,3,Graduate Degree,4/16/1994,Bronze,Professional,Y
118,Nancy,Henry,Bremerton,USA,10/4/1913,S,$50K - $70K,M,2,Bachelors Degree,3/3/1993,Bronze,Professional,Y
119,Chris,Barros,N. Vancouver,Canada,7/26/1957,S,$10K - $30K,M,4,Partial High School,5/21/1991,Normal,Manual,Y
120,Christopher,Groome,Milwaukie,USA,1/28/1957,M,$30K - $50K,F,0,High School Degree,9/7/1990,Bronze,Skilled Manual,Y
121,Anna,Hill,Santa Monica,USA,2/17/1912,S,$30K - $50K,F,5,High School Degree,7/27/1994,Silver,Manual,Y
122,Ramon,Williams,Walla Walla,USA,9/22/1920,M,$30K - $50K,F,4,High School Degree,5/19/1992,Bronze,Skilled Manual,N
123,Scott,Masters,Richmond,USA,7/8/1964,M,$30K - $50K,F,2,High School Degree,8/15/1993,Bronze,Manual,Y
124,Joseph,"Brady, Jr.",Oakland,USA,9/7/1930,S,$70K - $90K,F,5,Bachelors Degree,3/27/1991,Bronze,Professional,N
125,Ellen,Gray,Bellflower,USA,12/4/1972,M,$70K - $90K,M,2,Bachelors Degree,6/22/1991,Bronze,Professional,Y
126,Henry,Fielder,Ballard,USA,2/3/1947,S,$110K - $130K,F,2,Partial College,7/24/1990,Normal,Professional,Y
127,Jeanine,Finnell,Everett,USA,6/18/1932,S,$10K - $30K,M,1,Partial High School,11/27/1992,Normal,Skilled Manual,Y
128,Ian,Schuetz,Salem,USA,4/18/1947,S,$30K - $50K,F,1,High School Degree,8/11/1992,Bronze,Skilled Manual,N
129,Richard,Runyon,Concord,USA,5/11/1925,M,$50K - $70K,F,0,Bachelors Degree,11/16/1990,Bronze,Professional,Y
130,Linda,Potter,Concord,USA,4/15/1949,S,$110K - $130K,F,4,Graduate Degree,9/23/1992,Bronze,Professional,N
131,Mary,Smith,La Jolla,USA,3/6/1944,S,$10K - $30K,M,3,Partial High School,12/22/1991,Normal,Manual,Y
132,Barbara,Brumagen,Cliffside,Canada,3/5/1933,S,$30K - $50K,F,0,High School Degree,10/6/1993,Silver,Skilled Manual,N
133,Thelma,Hamilton,Burbank,USA,2/22/1915,M,$30K - $50K,M,1,High School Degree,11/21/1990,Bronze,Skilled Manual,Y
134,Shirley,J Wilbert,Spokane,USA,10/4/1918,S,$50K - $70K,M,4,Bachelors Degree,7/6/1991,Bronze,Professional,Y
135,Jeremy,Ingram,Tixapan,Mexico,3/23/1924,M,$110K - $130K,M,5,Bachelors Degree,8/2/1994,Silver,Professional,Y
136,Sharon,Haddix,Lynnwood,USA,5/22/1956,M,$150K +,M,3,Bachelors Degree,9/12/1991,Golden,Professional,Y
137,Leland,Thomas,Newport Beach,USA,3/8/1943,M,$130K - $150K,F,3,Partial College,7/13/1993,Bronze,Professional,Y
138,Don,Wilson,Oak Bay,Canada,9/22/1925,S,$90K - $110K,F,4,Partial High School,5/8/1991,Silver,Professional,Y
139,Wayne,Stovall,Coronado,USA,4/5/1931,M,$30K - $50K,M,1,Partial High School,8/12/1991,Bronze,Manual,Y
140,Douglas,Russell,La Mesa,USA,11/14/1947,M,$10K - $30K,M,2,Partial High School,10/21/1990,Normal,Skilled Manual,Y
141,Maureen,Doose,Santa Anita,Mexico,7/24/1939,M,$10K - $30K,M,4,Partial High School,11/13/1992,Normal,Skilled Manual,N
142,Ann,Morreale,Renton,USA,7/5/1958,M,$50K - $70K,F,2,Bachelors Degree,10/24/1990,Golden,Professional,Y
143,Sheila,Rupert,Glendale,USA,8/17/1975,M,$30K - $50K,F,5,Partial College,11/24/1990,Golden,Manual,Y
144,Ashley,Pierson,Westminster,Canada,6/25/1964,S,$10K - $30K,M,3,Partial High School,4/6/1992,Bronze,Skilled Manual,Y
145,Ivan,Nickels,Victoria,Canada,3/16/1974,M,$10K - $30K,M,3,Partial High School,10/27/1991,Normal,Manual,Y
146,Chad,Neuhauser,Victoria,Canada,10/17/1960,S,$130K - $150K,M,2,Partial High School,8/15/1991,Bronze,Professional,Y
147,Ann,Coke,Sooke,Canada,5/5/1917,S,$110K - $130K,M,4,Bachelors Degree,12/20/1992,Bronze,Professional,Y
148,Jon,Scarbrough,Kirkland,USA,4/12/1950,S,$70K - $90K,M,2,High School Degree,7/28/1993,Bronze,Management,N
149,Lillian,Martensen,Chula Vista,USA,11/27/1964,S,$50K - $70K,M,1,Bachelors Degree,7/24/1992,Bronze,Professional,Y
150,Mary,McCormick,Seattle,USA,5/6/1929,M,$30K - $50K,F,4,High School Degree,11/6/1991,Bronze,Manual,Y
151,James,Sparacino,San Jose,USA,4/8/1959,M,$30K - $50K,F,3,Partial College,8/27/1991,Bronze,Management,Y
152,John,Racette,Ballard,USA,3/4/1953,S,$150K +,F,2,High School Degree,5/7/1990,Silver,Professional,Y
153,Edwardo,Thompson,Guadalajara,Mexico,11/26/1914,M,$10K - $30K,F,3,Partial High School,11/5/1990,Normal,Manual,Y
154,Sam,Warren,Lebanon,USA,10/25/1916,S,$50K - $70K,F,0,Bachelors Degree,12/19/1992,Bronze,Professional,N
155,Shelby,Chow-Wang,Port Hammond,Canada,5/17/1966,M,$110K - $130K,M,1,Partial High School,11/20/1993,Silver,Professional,N
156,Nelly,Wood,Sooke,Canada,8/23/1944,S,$130K - $150K,M,1,Bachelors Degree,10/2/1993,Bronze,Professional,Y
157,Jackie,Morgan,La Mesa,USA,4/15/1910,S,$50K - $70K,F,2,Bachelors Degree,10/3/1993,Bronze,Professional,N
158,Gavin,Boje,Tacoma,USA,12/19/1961,M,$130K - $150K,F,3,Partial College,6/11/1993,Bronze,Management,Y
159,Marlene,Tsujimoto,Milwaukie,USA,9/2/1940,M,$30K - $50K,M,4,High School Degree,3/8/1991,Bronze,Skilled Manual,Y
160,RitaIva,Bouton,Renton,USA,3/8/1961,M,$90K - $110K,F,1,Partial High School,4/14/1990,Golden,Professional,N
161,Dell,Gras,Grossmont,USA,8/23/1933,M,$30K - $50K,F,1,High School Degree,9/17/1992,Bronze,Manual,Y
162,Christopher,Solano,Ladner,Canada,3/5/1963,M,$30K - $50K,F,3,Partial High School,11/18/1993,Bronze,Manual,Y
163,George,Armstrong,Los Angeles,USA,6/17/1952,S,$10K - $30K,F,5,Partial High School,10/23/1992,Normal,Skilled Manual,N
164,Kristine,Aldred,Coronado,USA,2/22/1947,S,$30K - $50K,F,4,High School Degree,1/1/1990,Bronze,Skilled Manual,N
165,Tom,Jorgenson,Milwaukie,USA,8/17/1935,S,$130K - $150K,M,2,Bachelors Degree,9/22/1992,Bronze,Professional,Y
166,Dana,Turner,Oak Bay,Canada,9/20/1932,S,$30K - $50K,F,4,High School Degree,4/26/1992,Golden,Manual,Y
167,Terry,Zakerski,Lemon Grove,USA,6/7/1932,S,$70K - $90K,M,2,Graduate Degree,9/17/1990,Bronze,Professional,Y
168,David,Carlson,Walla Walla,USA,7/24/1963,M,$10K - $30K,F,4,Partial High School,5/5/1991,Normal,Manual,N
169,Linda,Symons,Lebanon,USA,12/16/1956,M,$50K - $70K,F,0,Partial High School,7/28/1993,Bronze,Manual,Y
170,Louis,Reynolds,Los Angeles,USA,7/13/1920,S,$10K - $30K,M,1,Partial High School,5/12/1993,Normal,Skilled Manual,N
171,Maureen,Ibsen,Downey,USA,10/2/1932,M,$10K - $30K,M,4,Partial High School,9/26/1991,Normal,Manual,N
172,Virginia,Ciochon,West Covina,USA,10/5/1942,M,$50K - $70K,F,3,Bachelors Degree,7/14/1991,Silver,Professional,N
173,Steve,Berger,Bellingham,USA,2/21/1940,S,$50K - $70K,F,3,High School Degree,3/12/1994,Golden,Manual,N
174,James,Bayol,San Carlos,USA,6/23/1953,M,$90K - $110K,F,4,High School Degree,7/17/1991,Bronze,Management,Y
175,Meredith,Thumann,Metchosin,Canada,3/14/1976,S,$70K - $90K,F,0,Graduate Degree,9/5/1991,Bronze,Professional,N
176,Julie,Jones,Concord,USA,5/16/1960,M,$110K - $130K,M,2,Partial College,6/8/1992,Silver,Professional,Y
177,Janet,Bury,Corvallis,USA,9/13/1975,M,$10K - $30K,M,0,Partial High School,8/8/1991,Normal,Skilled Manual,N
178,Onita,Bevan,Woodburn,USA,12/19/1967,S,$30K - $50K,M,1,Partial College,9/18/1991,Bronze,Manual,Y
179,Mary,Monarco,Lakewood,USA,11/1/1918,S,$130K - $150K,M,1,Graduate Degree,2/9/1991,Golden,Professional,Y
180,Vicky,Zingarelli,Seattle,USA,3/3/1945,S,$50K - $70K,F,4,Bachelors Degree,4/23/1992,Bronze,Professional,N
181,Helen,Valentine,Bremerton,USA,6/23/1965,S,$30K - $50K,F,1,High School Degree,11/25/1992,Bronze,Manual,N
182,Carol,Scheulen,Everett,USA,3/24/1924,M,$110K - $130K,F,1,Graduate Degree,7/1/1990,Bronze,Management,Y
183,Virgie,Koon,Langford,Canada,11/19/1969,M,$130K - $150K,M,2,Graduate Degree,12/27/1991,Bronze,Professional,N
184,Sarah,Amole,Oak Bay,Canada,5/20/1968,M,$70K - $90K,F,4,High School Degree,8/26/1993,Bronze,Professional,Y
185,Cecil,Hill,Edmonds,USA,7/10/1923,S,$10K - $30K,M,4,Partial High School,6/20/1993,Normal,Manual,Y
186,Ruth,Tate,Imperial Beach,USA,2/15/1931,M,$110K - $130K,F,3,Partial High School,11/28/1994,Bronze,Professional,Y
187,Larry,Schnurr,Woodburn,USA,12/1/1975,S,$10K - $30K,M,0,Partial High School,3/23/1991,Normal,Manual,Y
188,Jerry,Sutton,Albany,USA,11/13/1959,M,$30K - $50K,F,4,High School Degree,9/8/1993,Golden,Skilled Manual,Y
189,Kevin,Mlincek,Metchosin,Canada,11/26/1919,M,$10K - $30K,M,2,Partial High School,2/4/1993,Normal,Skilled Manual,Y
190,Edward,Tucker,Corvallis,USA,12/25/1964,M,$110K - $130K,F,1,Partial College,5/17/1993,Bronze,Professional,Y
191,Kenton,Forham,Arcadia,USA,5/13/1949,S,$30K - $50K,F,4,Partial College,10/20/1991,Normal,Manual,N
192,Brittany,Malik,Spokane,USA,6/24/1977,M,$50K - $70K,F,4,Bachelors Degree,3/20/1990,Bronze,Professional,Y
193,Jeannette,Eldridge,Los Angeles,USA,4/7/1942,S,$30K - $50K,M,0,Partial College,12/3/1991,Bronze,Skilled Manual,Y
194,Terry,Anderson,Mexico City,Mexico,5/7/1970,S,$30K - $50K,F,1,Partial College,2/21/1994,Bronze,Skilled Manual,N
195,Loni,Sosa,N. Vancouver,Canada,4/24/1965,S,$50K - $70K,F,4,Bachelors Degree,1/10/1991,Bronze,Professional,Y
196,Marie,Mann,Daly City,USA,7/8/1966,S,$10K - $30K,M,2,Partial High School,11/20/1994,Normal,Manual,N
197,Michael,Prater,National City,USA,6/25/1948,M,$10K - $30K,F,1,High School Degree,4/20/1991,Normal,Skilled Manual,Y
198,Karen,Ansaldo,Imperial Beach,USA,11/22/1939,M,$10K - $30K,F,1,Partial High School,11/4/1992,Normal,Skilled Manual,Y
199,Lance,Caijem,Richmond,USA,4/15/1946,M,$10K - $30K,M,0,Bachelors Degree,12/27/1991,Normal,Professional,N
200,Pamela,Yates,Los Angeles,USA,6/13/1977,S,$50K - $70K,F,5,Partial College,7/8/1992,Bronze,Skilled Manual,N
201,Iwona,Turner,Santa Fe,Mexico,7/11/1976,M,$50K - $70K,F,1,Bachelors Degree,5/9/1994,Bronze,Professional,N
202,Mary,Fulcher,Santa Cruz,USA,9/13/1946,S,$10K - $30K,F,5,Partial High School,7/15/1993,Normal,Manual,Y
203,Raymond,Berg,Newton,Canada,4/24/1952,M,$50K - $70K,M,1,Bachelors Degree,6/8/1992,Silver,Management,N
204,Ramona,Lopez,N. Vancouver,Canada,11/6/1968,M,$130K - $150K,M,2,High School Degree,9/17/1991,Bronze,Management,Y
205,Helen,Valdivia,San Diego,USA,8/16/1960,M,$110K - $130K,M,5,Bachelors Degree,12/20/1994,Bronze,Management,Y
